"'@timestamp"	"kubernetes.container_name"	log
"May 19, 2026 @ 10:30:00.283"	"gop-standard-adapter"	"2026-05-19 02:30:00.283 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157800283; nextExpiration=1779157800281; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:00.325"	"gop-standard-adapter"	"2026-05-19 02:30:00.325 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157800324; nextExpiration=1779157800323; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:00.423"	"gop-standard-adapter"	"2026-05-19 02:30:00.423 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157800423; nextExpiration=1779157800422; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:00.479"	"gop-standard-adapter"	"2026-05-19 02:30:00.479 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157800479; nextExpiration=1779157800478; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:00.595"	"gop-standard-adapter"	"2026-05-19 02:30:00.595 [gop-standard-adapter - ] TRACE o.a.t.u.t.LimitLatch:log:173 : Counting up[http-nio-8081-Acceptor] latch=1  "
"May 19, 2026 @ 10:30:00.595"	"gop-standard-adapter"	"2026-05-19 02:30:00.595 [gop-standard-adapter - ] TRACE o.a.c.h.Http11NioProtocol:log:173 : Found processor [null] for socket [org.apache.tomcat.util.net.NioChannel@6d9829e3:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44704]]  "
"May 19, 2026 @ 10:30:00.595"	"gop-standard-adapter"	"2026-05-19 02:30:00.595 [gop-standard-adapter - ] TRACE o.a.c.h.Http11InputBuffer:log:173 : Before fill(): parsingHeader: [true], parsingRequestLine: [true], parsingRequestLinePhase: [0], parsingRequestLineStart: [0], byteBuffer.position(): [0], byteBuffer.limit(): [0], end: [142]  "
"May 19, 2026 @ 10:30:00.595"	"gop-standard-adapter"	"2026-05-19 02:30:00.595 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : Socket: [org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper@3427282d:org.apache.tomcat.util.net.NioChannel@6d9829e3:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44704]], Read direct from socket: [141]  "
"May 19, 2026 @ 10:30:00.595"	"gop-standard-adapter"	"2026-05-19 02:30:00.595 [gop-standard-adapter - ] TRACE o.a.c.h.Http11NioProtocol:log:173 : Processing socket [org.apache.tomcat.util.net.NioChannel@6d9829e3:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44704]] with status [OPEN_READ]  "
"May 19, 2026 @ 10:30:00.595"	"gop-standard-adapter"	"2026-05-19 02:30:00.595 [gop-standard-adapter - ] TRACE o.a.c.h.Http11NioProtocol:log:173 : Popped processor [org.apache.coyote.http11.Http11Processor@7dbd337c] from cache  "
"May 19, 2026 @ 10:30:00.595"	"gop-standard-adapter"	"2026-05-19 02:30:00.595 [gop-standard-adapter - ] TRACE o.a.t.u.n.SocketWrapperBase:log:173 : Socket: [org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper@3427282d:org.apache.tomcat.util.net.NioChannel@6d9829e3:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44704]], Read from buffer: [0]  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"Host: 100.65.100.68:8081"
